index,type,l,b,distance,metallicity
1098,open,207.64,-1.55,1944,NaN
1099,open,189.71,15.16,1946,NaN
1100,open,330.95,-0.87,1948,NaN
1101,open,352.6,-2.16,1948,NaN
1102,open,97.48,5.62,1948,NaN
1103,open,277.83,0.68,1949,NaN
1104,open,311.59,2.1,1949,NaN
1105,open,320.25,-0.29,1950,NaN
1106,open,256.41,-5.71,1951,NaN
1107,open,39.1,-1.68,1951,NaN
1108,open,214.43,-5.52,1952,NaN
1109,open,219.13,-0.68,1952,NaN
1110,open,213.8,5.21,1952,NaN
1111,open,308.26,2.22,1952,NaN
1112,open,72.41,0.92,1952,NaN
1113,open,117.38,10.79,1952,NaN
1114,open,114.72,-11.33,1953,NaN
1115,open,233.26,-5.98,1958,NaN
1116,open,300.46,-0.66,1963,NaN
1117,open,319.88,0.78,1963,NaN
1118,open,157.06,-3.67,1964,NaN
1119,open,215.31,-2.29,1964,NaN
1120,open,210.42,1.48,1964,NaN
1121,open,219.3,6.02,1964,NaN
1122,open,243.34,1.64,1964,NaN
1123,open,110.19,11.41,1964,NaN
1124,open,52.5,14.13,1965,NaN
1125,open,270.72,2.15,1966,NaN
1126,open,290.15,2.91,1968,NaN
1127,open,271.98,-4.34,1976,NaN
1128,open,314.7,-0.3,1978,NaN
1129,open,53.21,3.35,1978,NaN
1130,open,355.76,-5.28,1982,NaN
1131,open,116.31,0.66,1988,NaN
1132,open,190.18,9.72,1989,NaN
1133,open,277.09,-0.82,1991,NaN
1134,open,65.18,-2.4,1993,NaN
1135,open,196.66,-3,1994,NaN
1136,open,196.9,0.61,1994,NaN
1137,open,290.7,0.2,1997,NaN
1138,open,235.38,0.14,1998,NaN
1139,open,113.96,-3.12,1998,NaN
1140,open,289.86,-5.55,1999,NaN
1141,open,122.84,22.38,2000,-0.01
1142,open,123.55,5.6,2000,NaN
1143,open,123.99,1.08,2000,NaN
1144,open,131.58,-2.81,2000,NaN
1145,open,138.1,-4.75,2000,NaN
1146,open,154.82,2.48,2000,NaN
1147,open,168.28,1.42,2000,NaN
1148,open,110.56,0.16,2000,NaN
1149,open,115.18,8.62,2000,NaN
1150,open,111.29,-5.37,2000,NaN
1151,open,114.6,0.22,2000,NaN
1152,open,116.56,-0.58,2000,NaN
1153,open,53.76,0.17,2003,NaN
1154,open,35,-6.06,2004,NaN
1155,open,134.13,1.34,2006,NaN
1156,open,152.33,11.34,2007,NaN
1157,open,134.05,0.84,2009,NaN
1158,open,266.41,-3,2010,NaN
1159,open,38.59,-1.68,2010,NaN
1160,open,115.19,-1,2012,NaN
1161,open,101.89,-4.59,2013,NaN
1162,open,95.67,0.23,2014,NaN
1163,open,287.03,-0.28,2017,NaN
1164,open,331.47,-0.6,2023,NaN
1165,open,26.44,1.75,2023,NaN
1166,open,306.02,0.05,2024,NaN
1167,open,79.3,0.3,2024,NaN
1168,open,216.19,-13.49,2025,NaN
1169,open,206.97,-1.15,2025,NaN
1170,open,221.84,-2,2025,NaN
1171,open,285.05,-1.89,2025,NaN
1172,open,331.13,-0.52,2031,NaN
1173,open,211.25,-3.87,2032,NaN
1174,open,275.49,-1.17,2032,NaN
1175,open,194.35,-10.17,2035,NaN
1176,open,17.44,-10.66,2037,NaN
1177,open,118.55,-7.79,2038,NaN
1178,open,215.69,-6.15,2038,NaN
1179,open,3.36,2.59,2041,NaN
1180,open,70.92,1.28,2047,NaN
1181,open,322.18,0.6,2049,NaN
1182,open,333.25,0.07,2053,NaN
1183,open,9.13,-0.73,2056,-0.36
1184,open,136.6,2.96,2056,NaN
1185,open,184.95,-10.5,2056,NaN
1186,open,181.83,-3.09,2056,NaN
1187,open,320.13,-0.62,2056,NaN
1188,open,251.96,-18.04,2057,NaN
1189,open,242.59,-4.16,2057,NaN
1190,open,236.28,0.28,2057,NaN
1191,open,307.47,1.33,2059,NaN
1192,open,19.99,-1.4,2062,NaN
1193,open,334.4,-2.34,2065,NaN
1194,open,259.9,0.34,2068,NaN
1195,open,236.06,-4.64,2069,NaN
1196,open,339.48,-0.32,2069,NaN
1197,open,31.84,-0.11,2069,NaN
1198,open,185.88,-9.78,2070,NaN
1199,open,206.51,13.88,2070,NaN
1200,open,267.62,-2.06,2070,NaN
1201,open,285.51,-2.35,2070,NaN
1202,open,235.38,-2.4,2074,NaN
1203,open,252.67,13.82,2076,NaN
1204,open,195.59,-3.6,2082,NaN
1205,open,180.55,4.63,2088,NaN
1206,open,201.87,-0.19,2088,NaN
1207,open,210.09,-0.77,2088,NaN
1208,open,239.78,2.73,2088,NaN
1209,open,310.74,0.11,2088,NaN
1210,open,317.02,0.6,2088,NaN
1211,open,315.92,-1.73,2088,NaN
1212,open,70.3,1.72,2088,NaN
1213,open,217.05,6.15,2089,NaN
1214,open,39.88,-1.27,2093,NaN
1215,open,123.19,2.92,2094,NaN
1216,open,206.94,2.79,2095,NaN
1217,open,307.58,1.19,2095,NaN
1218,open,294.5,-1.31,2098,NaN
1219,open,129.47,-0.95,2100,NaN
1220,open,143.03,-3.97,2100,NaN
1221,open,170.32,-17.12,2100,NaN
1222,open,179.58,-9.25,2100,NaN
1223,open,179.66,-0.51,2100,NaN
1224,open,109.12,1.11,2100,NaN
1225,open,110.9,0.07,2100,NaN
1226,open,109.45,-11.55,2100,NaN
1227,open,115.93,0.67,2101,NaN
1228,open,70.24,-2.61,2103,NaN
1229,open,65.04,3.19,2105,NaN
1230,open,7.91,-0.02,2106,NaN
1231,open,51.36,-10.31,2108,NaN
1232,open,48.52,-0.16,2110,NaN
1233,open,197.19,-3.41,2120,NaN
1234,open,328.54,-0.98,2120,NaN
1235,open,126.45,11.89,2121,NaN
1236,open,239.3,2.33,2121,NaN
1237,open,185.44,2.89,2127,NaN
1238,open,203.39,11.8,2128,-0.07
1239,open,302.8,1.29,2132,NaN
1240,open,246.42,-4.05,2134,NaN
1241,open,243.99,-2.07,2134,NaN
1242,open,340.11,7.27,2136,NaN
1243,open,191.9,0.83,2140,NaN
1244,open,314.84,1,2141,NaN
1245,open,200.69,-11.49,2143,NaN
1247,open,126.31,1.03,2146,NaN
1246,open,355.67,-1.17,2146,0.11
1248,open,184.12,-0.44,2149,NaN
1249,open,218.75,0.38,2151,NaN
1250,open,122.62,4.32,2153,NaN
1251,open,177.08,-0.21,2153,NaN
1252,open,271.94,-0.8,2153,NaN
1253,open,35.6,11.12,2153,NaN
1254,open,87.14,2.58,2153,NaN
1255,open,85.41,0.01,2153,NaN
1256,open,266.77,19.1,2154,NaN
1257,open,312.34,11.13,2154,NaN
1258,open,299.73,0.84,2155,0.11
1259,open,242.51,11.79,2160,NaN
1260,open,118.59,-19.41,2164,NaN
1261,open,192.03,1.02,2167,NaN
1262,open,220.87,-2.46,2173,NaN
1263,open,246.76,-10.74,2173,NaN
1264,open,248.94,-4.14,2173,NaN
1265,open,65.7,1.19,2173,NaN
1266,open,236.27,0.07,2178,NaN
1267,open,196.9,-2.54,2180,NaN
1268,open,28.21,-2.21,2180,NaN
1269,open,110.97,-0.74,2180,NaN
1270,open,257.25,4.27,2181,NaN
1271,open,270.75,6.71,2183,-0.37
1272,open,85.11,-1.21,2183,NaN
1273,open,121.96,1.2,2186,NaN
1274,open,182.44,0.22,2186,NaN
1275,open,348.11,-3.29,2186,NaN
1276,open,197.79,-3.32,2187,NaN
1277,open,267.81,-2.7,2187,NaN
1278,open,274.62,5.99,2187,NaN
1279,open,291.2,-0.72,2187,NaN
1280,open,226.17,-3.9,2190,NaN
1281,open,288.68,0.43,2194,NaN
1282,open,328.85,-0.47,2194,NaN
1283,globular,350.97,15.98,2199,-0.85
1284,open,128.03,-1.81,2199,NaN
1285,open,143.77,-4.28,2200,-0.3
1287,open,124.69,-0.6,2200,NaN
1288,open,127.19,0.74,2200,NaN
1289,open,132.22,-1.23,2200,NaN
1290,open,138.12,-8.12,2200,NaN
1291,open,140.94,0.92,2200,NaN
1292,open,275.96,-2.4,2200,NaN
1293,open,76.84,-4.23,2200,NaN
1294,open,116.42,-0.78,2200,NaN
1286,open,105.36,9.49,2200,0.08
1295,open,138.62,8.88,2201,-0.49
1296,open,217.77,-6.65,2201,NaN
1297,open,98.7,1.53,2201,NaN
1298,open,292.89,-2.4,2202,NaN
1299,open,121.78,-10.5,2203,NaN
1300,open,212.46,-0.86,2204,NaN
1301,open,239.73,2.4,2204,NaN
1302,open,3.57,-16.97,2207,NaN
1303,open,291.38,0.48,2208,NaN
1304,open,278.66,-1.08,2209,NaN
1305,open,110.86,13.08,2210,NaN
1306,open,289.43,-1.96,2211,0.2
1307,open,33.55,-2.23,2213,NaN
1308,open,338,-1.07,2214,NaN
1309,open,177.09,0.2,2220,NaN
1310,open,217.67,-2.74,2220,NaN
1311,open,269.31,2.98,2220,NaN
1312,open,60.39,10.96,2220,NaN
1313,open,86.2,-1.07,2220,NaN
1314,open,284.61,0.03,2221,-0.34
1315,open,217.75,-0.7,2221,NaN
1316,open,239.96,-9.32,2221,NaN
1317,open,268.63,3.22,2221,NaN
1318,open,307.14,0.25,2226,0.04
1319,open,277.7,-0.45,2228,NaN
1320,open,305.39,0.11,2231,NaN
1321,open,251.55,-5.02,2234,NaN
1322,open,275.08,6.4,2234,NaN
1323,open,237.44,-11.21,2237,NaN
1324,open,247.95,-4.16,2237,NaN
1325,open,332.84,-0.59,2240,NaN
1326,open,180.67,-3.58,2241,NaN
1327,open,197.56,-10.28,2241,NaN
1328,open,292.42,-4.29,2241,NaN
1329,open,259.54,4.35,2242,NaN
1330,open,115.36,14.81,2251,NaN
1331,open,180.86,4.13,2254,NaN
1333,open,228.95,-3.8,2255,NaN
1334,open,243.21,-0.62,2255,NaN
1335,open,262.68,19.84,2255,NaN
1336,open,300.02,4.89,2255,NaN
1332,open,246.72,-0.77,2255,0.08
1337,open,288.02,-0.85,2261,NaN
1338,open,241.06,-3.08,2262,NaN
1339,open,3.56,1.93,2264,NaN
1340,open,273.62,0.94,2269,NaN
1341,open,301.53,4.44,2269,NaN
1342,open,210.78,-0.26,2272,NaN
1343,open,137.19,3.02,2273,NaN
1344,open,247.16,0.51,2273,NaN
1345,open,294.33,-1.71,2273,NaN
1346,open,109.09,-0.35,2275,NaN
1347,open,222.64,-0.5,2276,NaN
1348,open,237.91,-8.12,2276,NaN
1349,open,317.12,0.17,2282,NaN
1350,open,233.24,-0.94,2283,NaN
1351,open,170.9,-11.18,2289,NaN
1352,open,27.73,-0.67,2289,NaN
1353,open,62.7,1.35,2289,NaN
1354,open,204.6,-1.32,2290,NaN
1355,open,223.23,-4.09,2290,NaN
1356,open,276.19,0.69,2290,NaN
1357,open,243.07,1.29,2291,NaN
1358,open,77.39,-3.43,2293,NaN
1359,open,1,-1.89,2295,NaN
1360,open,70.98,2.58,2296,NaN
1361,open,135.14,-1.82,2297,NaN
1362,open,134.62,-3.73,2300,-0.3
1363,open,129.37,-1.54,2300,NaN
1364,open,139.69,-1.33,2300,NaN
1365,open,91.2,-1.67,2300,NaN
1366,open,97.89,1.14,2300,NaN
1367,open,100.06,-0.33,2300,NaN
1368,open,105.74,0.06,2300,NaN
1369,open,111.33,-0.26,2300,NaN
1370,globular,338.16,-11.95,2301,-1.65
1371,open,118.4,-6.95,2301,NaN
1372,open,130.31,10.73,2301,NaN
1373,open,97.33,0.45,2301,NaN
1374,open,72.18,2.61,2303,NaN
1375,open,128.55,1.74,2304,NaN
1376,open,186.47,-9.69,2304,NaN
1377,open,225.33,-5.56,2304,NaN
1378,open,67.34,-10.63,2304,NaN
1379,open,173.51,2.78,2307,NaN
1380,open,199.63,1.58,2308,NaN
1381,open,308.23,0.34,2309,NaN
1382,open,186.37,1.25,2311,NaN
1383,open,249.2,-0.09,2311,NaN
1384,open,241.65,11.57,2311,NaN
1385,open,11.99,-0.97,2318,0.18
1386,open,288.45,-0.64,2322,NaN
1387,open,122.1,1.32,2325,NaN
1388,open,207.15,-18.2,2325,NaN
1389,open,213.97,-8.3,2325,NaN
1390,open,222.17,-6.11,2325,NaN
1391,open,354.25,-0.93,2325,NaN
1392,open,12.83,-1.31,2325,NaN
1393,open,17.17,-2.27,2325,NaN
1394,open,332.88,-16,2326,NaN
1395,open,248.34,10.02,2330,NaN
1396,open,72.06,-1,2331,NaN
1397,open,250.43,1.57,2340,NaN
1398,open,269.9,18.37,2340,NaN
1399,open,264.69,11.34,2343,NaN
1400,open,135.01,-3.59,2345,-0.3
1401,open,232.54,-5.85,2345,NaN
1402,open,317.41,-1.08,2352,NaN
1403,open,322.9,-3.03,2357,NaN
1405,open,225.09,-2,2360,NaN
1406,open,50.03,1.17,2360,NaN
1404,open,73.98,8.49,2360,0.09
1407,open,250.33,0.85,2361,NaN
1408,open,122.82,-8.11,2362,NaN
1409,open,209.66,-1.91,2362,NaN
1410,open,210.48,-1.11,2362,NaN
1411,open,233.53,-2.91,2362,NaN
1412,open,237.73,-0.96,2362,NaN
1413,open,213.27,18.57,2362,NaN
1414,open,302.61,0.74,2368,NaN
1415,open,130.36,11.06,2375,NaN
1416,open,224.02,-1.8,2375,NaN
1417,open,213.41,18.59,2376,NaN
1418,open,295.76,-0.22,2382,NaN
1419,open,243.27,-0.94,2383,NaN
1420,open,219.84,-2.24,2384,NaN
1421,open,161.2,5.4,2390,NaN
1422,open,252.16,-0.63,2391,NaN
1423,open,202.26,-0.7,2394,NaN
1424,open,76.66,4.62,2394,NaN
1425,open,329.79,-1.61,2396,NaN
1426,open,82.1,-1.73,2396,NaN
1427,open,195.53,-2.19,2397,NaN
1428,open,258.68,-0.81,2397,NaN
1429,open,212.44,-0.99,2398,NaN
1430,open,223.7,9.35,2398,NaN
1431,open,275.61,-5.62,2398,NaN
1432,open,85.16,-12.06,2398,NaN
1433,open,128.21,-1.15,2399,NaN
1434,open,121.56,-0.88,2400,NaN
1435,open,122.78,1.22,2400,NaN
1436,open,126.64,-4.39,2400,NaN
1437,open,130.55,-0.57,2400,NaN
1438,open,130.2,1.55,2400,NaN
1439,open,92.51,-0.28,2400,NaN
1440,open,115.12,0.32,2400,NaN
1441,open,116.12,-0.14,2400,NaN
1442,open,74.8,0.56,2405,NaN
1443,open,6.59,0.79,2418,NaN
1444,open,252.28,2.46,2421,NaN
1445,open,326.45,0.92,2422,NaN
1446,open,181.27,-11.5,2428,NaN
1447,open,232.59,5.57,2428,NaN
1448,open,284.67,1.17,2430,NaN
1449,open,238.48,-4.29,2434,NaN
1450,open,257.07,-5.26,2434,NaN
1451,open,266.04,-9.44,2434,NaN
1452,open,331.36,-0.03,2434,NaN
1453,open,7.95,0.32,2434,NaN
1454,open,31.16,0.92,2434,NaN
1455,open,204.57,6.28,2436,NaN
1456,open,226.11,-2.33,2436,NaN
1457,open,244.84,1.63,2436,NaN
1458,open,306.72,-11.49,2436,NaN
1459,open,285.85,0.07,2441,NaN
1460,open,93.84,-5.38,2443,NaN
1461,open,180.53,0.81,2449,NaN
1462,open,202.11,-5.54,2450,NaN
1463,open,51.16,-8.25,2451,NaN
1464,open,295.21,-0.66,2454,NaN
1465,open,330.12,-6.72,2466,NaN
1466,open,78.41,2.61,2466,NaN
1467,open,355.27,-2.39,2471,NaN
1468,open,79.11,-9.78,2471,NaN
1469,open,92.72,0.45,2472,NaN
1470,open,228.94,4.51,2473,-0.22
1471,open,307.21,-16.35,2473,NaN
1472,open,313.59,-30.75,2473,NaN
1473,open,263.76,-0.4,2479,NaN
1474,open,289.85,-1.78,2485,NaN
1475,open,354.77,-2.85,2486,NaN
1476,open,13.42,1.17,2488,NaN
1477,open,33.39,11.18,2495,NaN
1478,open,36.58,10.85,2496,NaN
1479,open,174.09,-8.85,2499,NaN
1480,open,130.11,-0.98,2500,NaN
1481,open,135.34,-0.2,2500,NaN
1482,open,170.13,-15.81,2500,NaN
1483,open,176.58,-7.64,2500,NaN
1484,open,175.55,1.22,2500,NaN
1485,open,91.02,-4.4,2500,NaN
1486,open,99.73,-0.13,2500,NaN
1487,open,104.72,2.83,2500,NaN
1488,open,103.09,-3.41,2500,NaN
1489,open,112.22,0.23,2500,NaN
1490,open,112.87,0.18,2500,NaN
1491,open,119.77,-1.37,2501,NaN
1492,open,127.59,3.39,2501,NaN
1493,open,129.4,5.8,2501,NaN
1494,open,135.84,0.25,2501,NaN
1495,open,162.89,-9.18,2501,NaN
1496,open,162.53,1.35,2501,NaN
1497,open,116.21,-0.39,2501,NaN
1498,open,117.01,2.39,2501,NaN
1499,open,47.73,-1,2509,NaN
1500,open,210.57,-2.11,2511,-0.4
1501,open,292.17,2.6,2511,NaN
1502,open,9.7,0.77,2525,NaN
1503,open,89.6,-0.42,2530,NaN
1504,open,348.55,5.85,2532,NaN
1505,open,88.73,1.05,2533,NaN
1506,open,123.12,-3.04,2534,NaN
1507,open,248.05,0.26,2534,NaN
1508,open,50.41,-1.32,2537,NaN
1509,open,281.51,-1.99,2541,NaN
1510,open,69.55,-9.66,2542,NaN
1511,open,234.58,0.83,2549,NaN
1512,open,266.13,-9.37,2549,NaN
1513,open,107.77,-1.02,2550,NaN
1514,open,290.89,0.13,2554,NaN
1515,open,272.49,2.87,2558,-0.4
1516,open,15.09,-18,2566,NaN
1517,open,295.38,-0.53,2569,NaN
1518,open,103.33,2.2,2578,NaN
1519,open,307.12,-1.64,2588,NaN
1520,open,355.51,0.98,2588,NaN
1521,open,70.66,-0.16,2588,NaN
1522,open,210.6,-8.24,2589,NaN
1523,open,242.56,1.43,2589,NaN
1524,open,249.61,2.35,2589,NaN
1525,open,297.7,-0.21,2589,NaN
1526,open,246.33,-4.76,2597,NaN
1527,open,120.74,0.39,2600,NaN
1528,open,130.13,0.38,2600,NaN
1529,open,158.57,-1.58,2600,NaN
1530,open,177.37,-3.5,2600,NaN
1531,open,179.95,-0.29,2600,NaN
1532,open,178.77,1.18,2600,NaN
1533,open,273.12,-0.76,2600,NaN
1534,open,103.13,-1.19,2600,NaN
1535,open,359.48,-1.59,2605,-0.34
1536,open,226.58,-2.33,2605,NaN
1537,open,117.72,-0.94,2609,NaN
1538,open,215.18,1.95,2610,NaN
1539,open,141.15,-14.71,2613,NaN
1540,open,1.24,-1.09,2626,NaN
1541,open,149.8,-1.03,2628,NaN
1542,open,282.15,-0.33,2628,NaN
1543,open,309.19,0.18,2628,NaN
1544,open,345.39,1.51,2628,NaN
1545,open,64.09,-1.29,2628,NaN
1546,open,85.68,-1.51,2629,NaN
1547,open,298.02,7.43,2630,NaN
1548,open,291.93,-3.16,2634,NaN
1549,open,199,-10.4,2637,NaN
1550,open,307.05,2.8,2642,-0.1
1551,open,232.33,-7.31,2642,NaN
1552,open,72.71,7.55,2642,NaN
1553,open,262.92,-1.89,2644,NaN
1554,open,111.59,0.56,2644,NaN
1555,open,71.1,0.84,2645,NaN
1556,open,298.98,-1.81,2652,NaN
1557,open,84.87,3.8,2652,NaN
1558,open,242.09,0.47,2654,-0.11
1559,open,204.38,-1.71,2654,NaN
1560,open,218.19,-0.4,2661,NaN
1561,open,271.35,9.54,2662,NaN
1562,open,270.75,3.21,2663,NaN
1563,open,196.19,-1.22,2669,NaN
1564,open,211.28,16.55,2669,NaN
1565,open,55.77,-0.17,2669,NaN
1566,open,205.12,-3.99,2670,NaN
1567,open,197.27,0.42,2670,NaN
1568,open,301.71,-18.71,2671,NaN
1569,open,320.96,5.87,2681,NaN
1570,open,301.69,-5.52,2683,-0.03
1571,open,74.31,1.27,2685,NaN
1572,open,289.13,-0.67,2686,NaN
1573,open,331.89,-0.26,2686,NaN
1574,open,34.33,-2.77,2687,NaN
1575,open,104.06,0.88,2692,NaN
1576,open,72.52,1.86,2694,NaN
1577,open,185.75,14.4,2695,NaN
1578,open,291.51,-9.15,2695,NaN
1579,open,116.75,-1.33,2700,NaN
1580,open,145.89,-2.97,2700,NaN
1581,open,169.65,0.05,2700,NaN
1582,open,94.45,-0.75,2700,NaN
1583,open,102.69,0.78,2700,NaN
1584,open,113.65,2.46,2700,NaN
1585,open,249.44,4.48,2701,NaN
1586,open,103.55,-2.65,2701,NaN
1587,open,168.64,-13.72,2702,NaN
1588,open,299.67,2.26,2702,NaN
1589,open,75.71,1.21,2702,NaN
1590,open,239.87,-1.8,2706,NaN
1591,open,180.57,5.58,2710,NaN
1592,open,282.83,0.64,2710,NaN
1593,open,355.31,-4.32,2710,NaN
1594,open,188.4,-8.81,2711,NaN
1595,open,9.87,-13.79,2711,NaN
1596,open,251.58,6.67,2712,-0.12
1597,open,262.08,-5.15,2720,NaN
1598,open,259.54,4.44,2720,NaN
1599,open,207.66,2.34,2724,-0.7
1600,open,132.32,-1.02,2726,NaN
1601,open,132.16,-0.74,2735,NaN
1602,open,7.77,8.48,2735,NaN
1603,open,67.62,0.86,2735,NaN
1604,open,63.14,0.45,2743,NaN
1605,open,108.49,-0.4,2750,NaN
1606,open,117.47,5.95,2750,NaN
1607,open,202.8,1.01,2753,-0.3
1608,open,210.83,-1.04,2753,NaN
1609,open,258.86,-3.33,2754,-0.07
1610,open,62.33,0.27,2769,NaN
1611,open,212.29,-0.41,2778,NaN
1612,open,137.75,-2.91,2787,NaN
1613,open,63.45,0.83,2787,NaN
1614,open,275,-1.9,2792,NaN
1615,open,197.62,-16.55,2795,NaN
1616,open,256.74,13.26,2795,NaN
1617,open,276.92,4.53,2795,NaN
1618,open,297.53,-1.75,2795,NaN
1619,open,246.76,3.38,2796,NaN
1620,open,294.98,-1.76,2796,NaN
1621,open,58.29,-2.48,2796,NaN
1622,open,174.44,-1.85,2799,NaN
1623,open,338.55,-1.14,2799,NaN
1624,open,120.85,0.51,2800,NaN
1625,open,155.06,5.92,2800,NaN
1626,open,211.99,-1.3,2800,NaN
1627,open,111.53,0.81,2800,NaN
1628,open,115.78,1.24,2800,NaN
1629,open,115.78,1.01,2800,NaN
1630,open,136.05,-1.16,2801,NaN
1631,open,176.76,0.1,2801,NaN
1632,open,179.29,1.28,2801,NaN
1633,open,91.04,-2.73,2801,NaN
1634,open,197.24,-2.35,2804,NaN
1635,open,186.1,-13.48,2812,NaN
1636,open,51.09,-1.16,2814,NaN
1638,open,281.15,-1.66,2817,NaN
1637,open,265.93,-3.01,2817,0.04
1639,open,309.29,20.6,2818,NaN
1640,open,334.66,0.43,2820,NaN
1641,open,100.93,8.89,2820,NaN
1642,open,224.9,-2.14,2821,NaN
1643,open,216.83,0.78,2830,NaN
1644,open,355.47,0.38,2837,NaN
1645,open,29.11,-1.72,2837,NaN
1646,open,186.58,2.15,2839,NaN
1647,open,217.49,-0.02,2839,NaN
1648,open,238.32,-3.64,2839,NaN
1649,open,243.98,-1.13,2839,NaN
1650,open,83.14,4.84,2839,NaN
1651,open,36.31,-3.21,2847,NaN
1652,open,117.16,6.49,2850,-0.27
1653,open,298.2,-0.52,2856,NaN
1654,open,248.69,-0.15,2860,NaN
1655,open,68.12,1.43,2860,NaN
1656,open,292.82,-1.2,2863,NaN
1657,open,220.34,-7.73,2864,NaN
1658,open,238.36,-6.8,2865,-0.11
1659,open,332.35,0.6,2867,NaN
1660,open,197.32,-2.1,2874,NaN
1661,open,231.4,1.93,2874,NaN
1662,open,299.3,4.56,2874,NaN
1663,open,296.47,-5.05,2879,NaN
1664,open,358.26,2.04,2879,NaN
1665,open,198.11,19.63,2880,-0.38
1666,open,192.83,-18.06,2882,NaN
1667,open,223.28,-0.49,2883,NaN
1668,open,44.04,-3.85,2883,NaN
1669,open,189.58,-0.76,2886,NaN
1670,open,261.51,6.24,2889,NaN
1671,open,201.22,3.28,2892,NaN
1672,open,248.25,-0.19,2892,NaN
1673,open,247.7,-2.53,2899,NaN
1674,open,69.1,0.52,2900,NaN
1675,open,116.58,-1.02,2900,NaN
1676,open,137.87,-1.74,2901,NaN
1677,open,210.69,-0.06,2910,NaN
1678,open,246.97,-0.93,2910,NaN
1679,open,344.73,1.61,2910,NaN
1680,open,288.38,0.02,2918,NaN
1681,open,271.75,3.86,2919,NaN
1682,open,66.13,-6.32,2920,NaN
1683,open,116.45,-2.99,2926,NaN
1684,open,111.19,2.76,2926,NaN
1685,open,305.54,0.36,2927,NaN
1686,open,202.69,-3.82,2928,NaN
1687,open,204.32,0.03,2928,NaN
1688,open,234.25,-2.82,2928,NaN
1689,open,237.56,3.18,2928,NaN
1690,open,230.27,0.62,2932,NaN
1691,open,294.04,-2.01,2932,NaN
1692,open,294.81,-1.63,2937,NaN
1693,open,10.25,0.34,2940,NaN
1694,open,309.34,-0.22,2948,NaN
1695,open,101.29,8.86,2953,NaN
1696,open,195.29,4.51,2955,NaN
1697,open,247.8,1.32,2955,NaN
1698,open,227,-2.87,2964,NaN
1699,open,25.93,6.65,2971,NaN
1700,open,220.04,-0.14,2972,NaN
1701,open,19.49,-0.18,2972,NaN
1702,open,203.96,-7.27,2973,NaN
1703,open,338.96,-26.19,2974,NaN
1704,open,188.11,0.13,2977,NaN
1705,open,193.85,2.33,2981,NaN
1706,open,184.9,3.12,2982,NaN
1707,open,303.62,-2.09,2990,NaN
1708,open,162.9,4.32,2991,NaN
1709,open,195.94,1.67,2991,NaN
1710,open,177.92,0.5,2999,NaN
1711,globular,5.83,-2.2,3000,-1.25
1713,open,126.11,-3.91,3000,NaN
1714,open,147.08,-0.52,3000,NaN
1715,open,147.51,5.66,3000,NaN
1716,open,163,0.12,3000,NaN
1717,open,167.29,-0.74,3000,NaN
1718,open,179.92,1.73,3000,NaN
1719,open,236.76,-6.26,3000,NaN
1720,open,114.5,2.63,3000,NaN
1712,open,146.65,-8.91,3000,0.1
1721,open,126.13,0.37,3001,NaN
1722,open,131.15,0.53,3001,NaN
1723,open,167.58,-4.12,3001,NaN
1724,open,187.54,8.25,3001,NaN
1725,open,101.4,-0.6,3001,NaN
1726,open,98.2,-12.77,3001,NaN
1727,open,358.78,-3.98,3007,NaN
1728,open,215.69,-10.08,3009,NaN
1729,open,271.23,7.02,3009,NaN
1730,open,258.57,3.01,3010,NaN
1731,open,276.25,-0.34,3010,NaN
1732,open,285.67,0.09,3015,0.19
1733,open,293.16,-7.11,3019,NaN
1734,open,238.06,-2.41,3021,NaN
1735,open,253.57,-2.11,3022,NaN
1736,open,46.47,2.64,3026,NaN
1737,open,247.34,-10.52,3027,NaN
1738,open,302.92,-6.86,3047,NaN
1739,open,3.75,3.98,3054,NaN
1740,open,201.79,2.11,3060,0.07
1741,open,192.4,3.37,3065,NaN
1742,open,56.3,-4.39,3065,NaN
1743,open,241.72,-7.52,3066,NaN
1744,open,331.51,17.62,3066,NaN
1745,open,263.03,8.96,3074,NaN
1746,open,302.04,-0.24,3078,NaN
1747,open,80.47,0.63,3091,NaN
1748,open,111.82,11.9,3093,NaN
1749,open,220.58,2.49,3095,NaN
1750,open,117.96,-1.29,3100,NaN
1751,open,120.05,-2.07,3100,NaN
1752,open,186.23,-3.21,3102,NaN
1753,open,69.52,-9.55,3104,NaN
1754,open,74.9,3.33,3108,NaN
1755,open,218.51,14.46,3112,NaN
1756,open,256.71,-3.48,3112,NaN
1757,open,260.02,-1.84,3112,NaN
1758,open,229.98,2.85,3113,NaN
1759,open,254.56,6.07,3123,NaN
1760,open,351.46,-0.45,3135,NaN
1761,open,286.05,4.67,3137,NaN
1762,open,225.36,-4.16,3150,NaN
1763,open,57.86,2.62,3150,NaN
1764,open,195.3,2.75,3161,NaN
1765,open,238.77,-15.08,3161,NaN
1766,open,85.89,-4.15,3171,-0.16
1767,open,336.46,0.87,3178,NaN
1768,open,286.23,-1.31,3189,NaN
1769,open,16.82,0.04,3197,NaN
1770,globular,9.89,-7.55,3198,-1.55
1771,open,159.5,8.59,3200,NaN
1772,open,103.72,-2.1,3200,NaN
1773,open,218.78,-9.86,3201,-0.4
1774,open,261.61,-0.66,3208,NaN
1775,open,109.41,-0.24,3208,NaN
1776,open,347.75,-5.51,3210,NaN
1777,open,99.94,-2.67,3210,NaN
