index,type,l,b,distance,metallicity
2366,globular,355.71,-3.87,11611,-1.45
2367,globular,311.61,10.57,11711,-1.45
2368,globular,244.51,-35.04,12097,-1.05
2369,globular,342.94,30.3,12502,-1.75
2370,open,61.63,1.91,12617,0
2371,globular,14.1,-6.79,12801,-0.37
2372,globular,227.22,-29.35,12892,-1.45
2373,open,85.97,-5.22,13180,0
2374,open,248.11,-5.89,13338,0
2375,globular,31.81,-15.57,13412,-0.4
2376,globular,342.14,-16.41,13501,-1.5
2377,globular,356.67,-2.48,13682,-1.51
2378,open,214.69,7.38,13719,-0.38
2379,globular,293.5,-4.04,13797,-0.35
2380,globular,6.72,10.23,13886,-0.4
2381,open,99.23,0.94,14655,0
2382,globular,358.34,9.95,15308,-1.26
2383,globular,317.74,-15.82,15405,-1.55
2384,globular,52.1,-18.89,15606,-1.35
2385,globular,42.16,73.58,16003,-1.75
2386,globular,270.54,-52.13,16298,-1.25
2387,globular,35.16,-32.68,16997,-1.35
2388,globular,335.68,78.95,17399,-2.15
2389,globular,332.94,79.77,17892,-1.75
2390,globular,307.35,-20.47,18804,-1.45
2391,globular,328.41,4.35,18887,-0.1
2392,globular,30.5,-47.68,18996,-0.85
2393,globular,252.82,77.19,19305,-1.65
2394,globular,28.08,16.24,20598,-2.05
2395,globular,20.3,-25.74,20897,-1.15
2396,globular,300.88,11.67,21213,-1.68
2397,globular,346.9,-12.56,21395,-1.8
2398,globular,195.11,25.54,22063,-2.16
2399,globular,3.38,-20.06,22795,-0.32
2400,globular,0.85,45.87,23195,-1.25
2401,globular,16.53,15.16,25002,-1.55
2402,globular,342.2,49.27,25214,-1.65
2403,globular,53.37,-63.47,26303,-1.55
2404,globular,5.76,-24.55,26316,-1.85
2405,globular,5.6,-14.08,26507,-1.49
2406,globular,170.53,-9.08,27198,-1.42
2407,globular,8.54,-20.78,28596,-1.65
2408,globular,73.64,40.31,30502,-1.15
2409,globular,332.55,22.08,32114,-1.75
2410,globular,331.05,30.37,34992,-1.98
2411,globular,63.76,-19.4,41177,-1.52
2412,globular,18.85,24.35,44999,-1.95
